ZIP,STATE,ZCTA,STATE_CODE
00501,NY,11742,36
00544,NY,11742,36
00601,PR,00601,72
00602,PR,00602,72
00603,PR,00603,72
00604,PR,00603,72
00605,PR,00603,72
00606,PR,00606,72
00610,PR,00610,72
00611,PR,00641,72
00612,PR,00612,72
00613,PR,00612,72
00614,PR,00612,72
00616,PR,00616,72
00617,PR,00617,72
00622,PR,00622,72
00623,PR,00623,72
00624,PR,00624,72
00627,PR,00627,72
00631,PR,00631,72
00636,PR,00680,72
00637,PR,00637,72
00638,PR,00638,72
00641,PR,00641,72
00646,PR,00646,72
00647,PR,00647,72
00650,PR,00650,72
00652,PR,00652,72
00653,PR,00653,72
00656,PR,00656,72
00659,PR,00659,72
00660,PR,00660,72
00662,PR,00662,72
00664,PR,00664,72
00667,PR,00667,72
00669,PR,00669,72
00670,PR,00670,72
00674,PR,00674,72
00676,PR,00676,72
00677,PR,00677,72
00678,PR,00678,72
00680,PR,00680,72
00681,PR,00680,72
00682,PR,00682,72
00683,PR,00683,72
00685,PR,00685,72
00687,PR,00687,72
00688,PR,00688,72
00690,PR,00690,72
00692,PR,00692,72
00693,PR,00693,72
00694,PR,00694,72
00698,PR,00698,72
00703,PR,00703,72
00704,PR,00704,72
00705,PR,00705,72
00707,PR,00707,72
00714,PR,00714,72
00715,PR,00715,72
00716,PR,00716,72
00717,PR,00717,72
00718,PR,00718,72
00719,PR,00719,72
00720,PR,00720,72
00721,PR,00745,72
00723,PR,00723,72
00725,PR,00725,72
00726,PR,00725,72
00727,PR,00727,72
00728,PR,00728,72
00729,PR,00729,72
00730,PR,00730,72
00731,PR,00731,72
00732,PR,00730,72
00733,PR,00730,72
00734,PR,00730,72
00735,PR,00735,72
00736,PR,00736,72
00737,PR,00736,72
00738,PR,00738,72
00739,PR,00739,72
00740,PR,00740,72
00741,PR,00741,72
00742,PR,00735,72
00744,PR,00718,72
00745,PR,00745,72
00751,PR,00751,72
00754,PR,00754,72
00757,PR,00757,72
00765,PR,00765,72
00766,PR,00766,72
00767,PR,00767,72
00769,PR,00769,72
00771,PR,00771,72
00772,PR,00772,72
00773,PR,00773,72
00775,PR,00775,72
